,Okres
716,Plzeň-město
717,NA
718,NA
719,NA
720,NA
721,NA
722,NA
723,NA
724,NA
725,NA
726,NA
727,NA
728,NA
729,NA
730,NA
731,"Teplice
 Břeclav"
732,Louny
733,Louny
734,Zlín
735,Rakovník
736,"Přerov
 Chrudim"
737,České Budějovice
738,Frýdek-Místek
739,Frýdek-Místek
740,Frýdek-Místek
741,Frýdek-Místek
742,Frýdek-Místek
743,Frýdek-Místek
744,Hlavní město Praha
745,Hlavní město Praha
746,"Rychnov nad Kněžnou
          Strakonice"
747,Most
748,Uherské Hradiště
749,Náchod
750,Náchod
751,Náchod
752,Žďár nad Sázavou
753,Žďár nad Sázavou
754,Cheb
755,Hlavní město Praha
756,Brno-město
757,Rychnov nad Kněžnou
758,Cheb
759,Cheb
760,Cheb
761,Kutná Hora
762,Kladno
763,Kladno
764,NA
765,NA
766,NA
767,NA
768,NA
769,NA
770,Ostrava-město
771,Plzeň-město
772,Plzeň-město
773,Plzeň-město
774,Plzeň-město
775,Blansko
776,Blansko
777,České Budějovice
778,České Budějovice
779,NA
780,"Svitavy
          Bruntál
    Frýdek-Místek
          Šumperk
 Uherské Hradiště"
781,"Svitavy
          Bruntál
    Frýdek-Místek
          Šumperk
 Uherské Hradiště"
782,"Svitavy
          Bruntál
    Frýdek-Místek
          Šumperk
 Uherské Hradiště"
783,Hlavní město Praha
784,Hlavní město Praha
785,Hlavní město Praha
786,Hlavní město Praha
787,Hlavní město Praha
788,NA
789,Tábor
790,Tábor
791,Tábor
792,Tábor
793,Tábor
794,Tábor
795,Tábor
796,Tábor
797,Tábor
798,Tábor
799,Tábor
800,Tábor
801,Tábor
802,Tábor
803,Tábor
804,Tábor
805,Tábor
806,Tábor
807,Tábor
808,Tábor
809,"Chrudim
  Kladno"
810,"Chrudim
  Kladno"
811,Brno-město
812,Brno-město
813,Brno-město
814,Brno-město
815,Brno-město
816,Most
817,Mělník
818,NA
819,Most
820,Most
821,Frýdek-Místek
822,Tábor
823,Tábor
824,"Plzeň-jih
 Pelhřimov"
825,NA
826,Hlavní město Praha
827,NA
828,NA
829,Pelhřimov
830,Pelhřimov
831,Jihlava
832,Jičín
833,Jičín
834,Jičín
835,NA
836,Znojmo
837,Znojmo
838,Znojmo
839,Znojmo
840,Znojmo
841,Znojmo
842,Plzeň-město
843,Plzeň-město
844,Plzeň-město
845,NA
846,NA
847,Plzeň-město
848,NA
849,NA
850,NA
851,České Budějovice
852,Cheb
853,Chomutov
854,Chomutov
855,Chomutov
856,Chomutov
857,"Chrudim
 Hodonín
 Blansko"
858,Cheb
859,Cheb
860,Hlavní město Praha
861,Hlavní město Praha
862,Hlavní město Praha
863,Hlavní město Praha
864,NA
865,NA
866,NA
867,NA
868,NA
869,NA
870,NA
871,"Chrudim
       Plzeň-jih
 Ústí nad Orlicí"
872,Ústí nad Orlicí
873,Ústí nad Orlicí
874,Trutnov
875,Trutnov
876,Trutnov
877,Náchod
878,Náchod
879,Náchod
880,Náchod
881,NA
882,NA
883,NA
884,NA
885,"Kladno
   Pardubice
 Plzeň-sever
     Olomouc
      Náchod
     Klatovy"
886,Kladno
887,Ústí nad Orlicí
888,Ústí nad Orlicí
889,Semily
890,NA
891,NA
892,Ostrava-město
893,NA
894,Svitavy
895,Svitavy
896,"Písek
 České Budějovice"
897,NA
898,Hlavní město Praha
899,Hlavní město Praha
900,Hlavní město Praha
901,NA
902,NA
903,NA
904,NA
905,NA
906,NA
907,Plzeň-město
908,Plzeň-město
909,Plzeň-město
910,Plzeň-město
911,Plzeň-město
912,Brno-město
913,Brno-město
914,Brno-město
915,NA
916,"Blansko
 Benešov"
917,"Blansko
 Benešov"
918,"Blansko
 Benešov"
919,Nový Jičín
920,Nový Jičín
921,Třebíč
922,Třebíč
923,Třebíč
924,Třebíč
925,Třebíč
926,Třebíč
927,Třebíč
928,Třebíč
929,Třebíč
930,Třebíč
931,Třebíč
932,Třebíč
933,Litoměřice
934,Litoměřice
935,Litoměřice
936,NA
937,Jičín
938,Jičín
939,NA
940,NA
941,NA
942,NA
943,"Brno-venkov
      Beroun"
944,NA
945,NA
946,NA
947,NA
948,České Budějovice
949,Znojmo
950,Znojmo
951,Znojmo
952,Znojmo
953,Znojmo
954,Znojmo
955,Chomutov
956,Chomutov
957,České Budějovice
958,České Budějovice
959,Pardubice
960,Pardubice
961,Frýdek-Místek
962,Cheb
963,Cheb
964,Hlavní město Praha
965,Hlavní město Praha
966,NA
967,"Žďár nad Sázavou
       Litoměřice
          Příbram
       Kutná Hora"
968,"Žďár nad Sázavou
       Litoměřice
          Příbram
       Kutná Hora"
969,"Žďár nad Sázavou
       Litoměřice
          Příbram
       Kutná Hora"
970,"Žďár nad Sázavou
       Litoměřice
          Příbram
       Kutná Hora"
971,"Žďár nad Sázavou
       Litoměřice
          Příbram
       Kutná Hora"
972,"Žďár nad Sázavou
       Litoměřice
          Příbram
       Kutná Hora"
973,"Žďár nad Sázavou
       Litoměřice
          Příbram
       Kutná Hora"
974,"Žďár nad Sázavou
       Litoměřice
          Příbram
       Kutná Hora"
975,"Blansko
 Benešov"
976,"Blansko
 Benešov"
977,"Blansko
 Benešov"
978,Hlavní město Praha
979,Hlavní město Praha
980,Hlavní město Praha
981,Jičín
982,Jičín
983,Jičín
984,Kladno
985,"České Budějovice
      Brno-venkov"
986,"České Budějovice
      Brno-venkov"
987,"České Budějovice
      Brno-venkov"
988,"České Budějovice
      Brno-venkov"
989,"České Budějovice
      Brno-venkov"
990,Brno-město
991,Brno-město
992,Brno-město
993,NA
994,NA
995,NA
996,Náchod
997,NA
998,Strakonice
999,Strakonice
1000,NA
1001,NA
1002,NA
1003,NA
1004,NA
1005,Hlavní město Praha
1006,Hlavní město Praha
1007,Svitavy
1008,Svitavy
1009,Svitavy
1010,České Budějovice
1011,Kladno
1012,Karlovy Vary
1013,Karlovy Vary
1014,Karlovy Vary
1015,Karlovy Vary
1016,Karlovy Vary
1017,Karlovy Vary
1018,NA
1019,NA
1020,NA
1021,NA
1022,NA
1023,NA
1024,NA
1025,NA
1026,NA
1027,Karviná
1028,Karviná
1029,Karviná
1030,Svitavy
1031,Svitavy
1032,Svitavy
1033,Ústí nad Orlicí
1034,Ústí nad Orlicí
1035,Ústí nad Orlicí
1036,Znojmo
1037,Znojmo
1038,NA
1039,Hradec Králové
1040,Hradec Králové
1041,Hradec Králové
1042,NA
1043,NA
1044,NA
1045,NA
1046,NA
1047,Plzeň-město
1048,Plzeň-město
1049,Karlovy Vary
1050,Karlovy Vary
1051,Karlovy Vary
1052,Karlovy Vary
1053,Karlovy Vary
1054,Karlovy Vary
1055,Karlovy Vary
1056,Liberec
1057,Liberec
1058,Hlavní město Praha
1059,Hlavní město Praha
1060,Hlavní město Praha
1061,Brno-město
1062,Brno-město
1063,NA
1064,NA
1065,Hlavní město Praha
1066,Plzeň-město
1067,Plzeň-město
1068,Plzeň-město
1069,Plzeň-město
1070,Svitavy
1071,NA
1072,NA
1073,NA
1074,NA
1075,NA
1076,NA
1077,NA
1078,NA
1079,NA
1080,"Teplice
 Břeclav"
1081,"Teplice
 Břeclav"
1082,"Teplice
 Břeclav"
1083,Mladá Boleslav
1084,Žďár nad Sázavou
1085,Žďár nad Sázavou
1086,Žďár nad Sázavou
1087,Náchod
1088,Louny
1089,Louny
1090,Louny
1091,Louny
1092,Louny
1093,Louny
1094,Zlín
1095,Rakovník
1096,"Přerov
 Chrudim"
1097,"Přerov
 Chrudim"
1098,České Budějovice
1099,České Budějovice
1100,Frýdek-Místek
1101,Frýdek-Místek
1102,Frýdek-Místek
1103,Frýdek-Místek
1104,Hlavní město Praha
1105,"Rychnov nad Kněžnou
          Strakonice"
1106,Most
1107,Most
1108,Náchod
1109,Žďár nad Sázavou
1110,Žďár nad Sázavou
1111,Žďár nad Sázavou
1112,Žďár nad Sázavou
1113,NA
1114,Hlavní město Praha
1115,Hlavní město Praha
1116,Hlavní město Praha
1117,Hlavní město Praha
1118,Třebíč
1119,Rychnov nad Kněžnou
1120,Cheb
1121,Cheb
1122,Kutná Hora
1123,Kutná Hora
1124,Kutná Hora
1125,Kutná Hora
1126,Kutná Hora
1127,Kutná Hora
1128,Kutná Hora
1129,Kutná Hora
1130,Kutná Hora
1131,Kutná Hora
1132,Kutná Hora
1133,Kutná Hora
1134,Kutná Hora
1135,Kutná Hora
1136,Kutná Hora
1137,Kutná Hora
1138,Kutná Hora
1139,Kutná Hora
1140,Kutná Hora
1141,Kutná Hora
1142,Kutná Hora
1143,Kutná Hora
1144,Kutná Hora
1145,Kutná Hora
1146,Kutná Hora
1147,Kutná Hora
1148,Kutná Hora
1149,Kutná Hora
1150,Kutná Hora
1151,Kutná Hora
1152,Kutná Hora
1153,Kutná Hora
1154,Kutná Hora
1155,Kutná Hora
1156,Kutná Hora
1157,Kutná Hora
1158,Kutná Hora
1159,Kutná Hora
1160,Kutná Hora
1161,Kutná Hora
1162,Kutná Hora
1163,Kutná Hora
1164,Kutná Hora
1165,Kutná Hora
1166,Kutná Hora
1167,Kutná Hora
1168,Kutná Hora
1169,Kutná Hora
1170,Kutná Hora
1171,Kutná Hora
1172,Kutná Hora
1173,Kutná Hora
1174,Kutná Hora
1175,Kutná Hora
1176,Kutná Hora
1177,Kutná Hora
1178,Kutná Hora
1179,Kutná Hora
1180,Kutná Hora
1181,Kutná Hora
1182,Kutná Hora
1183,Kutná Hora
1184,Kutná Hora
1185,Kutná Hora
1186,Kutná Hora
1187,Kutná Hora
1188,Kladno
1189,Chrudim
1190,Chrudim
1191,Chrudim
1192,NA
1193,NA
1194,Ostrava-město
1195,Karlovy Vary
1196,Plzeň-město
1197,Plzeň-město
1198,Plzeň-město
1199,Plzeň-město
1200,Plzeň-město
1201,Plzeň-město
1202,České Budějovice
1203,České Budějovice
1204,Hlavní město Praha
1205,NA
1206,Tábor
1207,Tábor
1208,Tábor
1209,Tábor
1210,Tábor
1211,Tábor
1212,Tábor
1213,Tábor
1214,Tábor
1215,Tábor
1216,Tábor
1217,Tábor
1218,Tábor
1219,Tábor
1220,Tábor
1221,Tábor
1222,Hradec Králové
1223,Hlavní město Praha
1224,Brno-město
1225,Most
1226,Most
1227,Mělník
1228,Mělník
1229,Mělník
1230,NA
1231,NA
1232,NA
1233,NA
1234,NA
1235,NA
1236,NA
1237,NA
1238,Chrudim
1239,Frýdek-Místek
1240,Frýdek-Místek
1241,"Plzeň-jih
 Pelhřimov"
1242,"Plzeň-jih
 Pelhřimov"
1243,"Plzeň-jih
 Pelhřimov"
1244,NA
1245,NA
1246,Hlavní město Praha
1247,NA
1248,NA
1249,NA
1250,Pelhřimov
1251,Pelhřimov
1252,Jičín
1253,Jičín
1254,Jičín
1255,Hlavní město Praha
1256,Pelhřimov
1257,NA
1258,NA
1259,"Domažlice
    České Budějovice
              Mělník
         Brno-venkov
             Sokolov
              Třebíč
       Český Krumlov
    Žďár nad Sázavou
 Rychnov nad Kněžnou
             Liberec
        Praha-východ
           Plzeň-jih
               Louny
          Strakonice"
1260,"Domažlice
    České Budějovice
              Mělník
         Brno-venkov
             Sokolov
              Třebíč
       Český Krumlov
    Žďár nad Sázavou
 Rychnov nad Kněžnou
             Liberec
        Praha-východ
           Plzeň-jih
               Louny
          Strakonice"
1261,Ústí nad Orlicí
1262,Ústí nad Orlicí
1263,Ústí nad Orlicí
1264,Znojmo
1265,Plzeň-město
1266,Plzeň-město
1267,Plzeň-město
1268,Plzeň-město
1269,NA
1270,Plzeň-město
1271,Hradec Králové
1272,Hradec Králové
1273,Nymburk
1274,Hlavní město Praha
