NAZEV,OKRES,KRAJ
Doksy,Česká Lípa,Liberecký kraj
Doksy,Kladno,Středočeský kraj
Dolany,Kladno,Středočeský kraj
Dolany,Pardubice,Pardubický kraj
Dolany,Plzeň-sever,Plzeňský kraj
Dolany,Olomouc,Olomoucký kraj
Dolany,Náchod,Královéhradecký kraj
Dolany,Klatovy,Plzeňský kraj
Dolany nad Vltavou,Mělník,Středočeský kraj
Dolce,Plzeň-jih,Plzeňský kraj
Dolenice,Znojmo,Jihomoravský kraj
Dolní Benešov,Opava,Moravskoslezský kraj
Dolní Bezděkov,Chrudim,Pardubický kraj
Dolní Bečva,Vsetín,Zlínský kraj
Dolní Beřkovice,Mělník,Středočeský kraj
Dolní Bojanovice,Hodonín,Jihomoravský kraj
Dolní Bousov,Mladá Boleslav,Středočeský kraj
Dolní Branná,Trutnov,Královéhradecký kraj
Dolní Brusnice,Trutnov,Královéhradecký kraj
Dolní Bukovsko,České Budějovice,Jihočeský kraj
Dolní Bělá,Plzeň-sever,Plzeňský kraj
Dolní Břežany,Praha-západ,Středočeský kraj
Dolní Cerekev,Jihlava,Kraj Vysočina
Dolní Chvatliny,Kolín,Středočeský kraj
Dolní Dobrouč,Ústí nad Orlicí,Pardubický kraj
Dolní Domaslavice,Frýdek-Místek,Moravskoslezský kraj
Dolní Dubňany,Znojmo,Jihomoravský kraj
Dolní Dunajovice,Břeclav,Jihomoravský kraj
Dolní Dvořiště,Český Krumlov,Jihočeský kraj
Dolní Dvůr,Trutnov,Královéhradecký kraj
Dolní Habartice,Děčín,Ústecký kraj
Dolní Hbity,Příbram,Středočeský kraj
Dolní Heřmanice,Žďár nad Sázavou,Kraj Vysočina
Dolní Hořice,Tábor,Jihočeský kraj
Dolní Hrachovice,Tábor,Jihočeský kraj
Dolní Hradiště,Plzeň-sever,Plzeňský kraj
Dolní Kalná,Trutnov,Královéhradecký kraj
Dolní Kounice,Brno-venkov,Jihomoravský kraj
Dolní Kralovice,Benešov,Středočeský kraj
Dolní Krupá,Havlíčkův Brod,Kraj Vysočina
Dolní Krupá,Mladá Boleslav,Středočeský kraj
Dolní Lažany,Třebíč,Kraj Vysočina
Dolní Lhota,Ostrava-město,Moravskoslezský kraj
Dolní Lhota,Zlín,Zlínský kraj
Dolní Libochová,Žďár nad Sázavou,Kraj Vysočina
Dolní Lochov,Jičín,Královéhradecký kraj
Dolní Lomná,Frýdek-Místek,Moravskoslezský kraj
Dolní Loučky,Brno-venkov,Jihomoravský kraj
Dolní Lukavice,Plzeň-jih,Plzeňský kraj
Dolní Lutyně,Karviná,Moravskoslezský kraj
Dolní Lánov,Trutnov,Královéhradecký kraj
Dolní Morava,Ústí nad Orlicí,Pardubický kraj
Dolní Moravice,Bruntál,Moravskoslezský kraj
Dolní Město,Havlíčkův Brod,Kraj Vysočina
Dolní Nivy,Sokolov,Karlovarský kraj
Dolní Novosedly,Písek,Jihočeský kraj
Dolní Němčí,Uherské Hradiště,Zlínský kraj
Dolní Nětčice,Přerov,Olomoucký kraj
Dolní Olešnice,Trutnov,Královéhradecký kraj
Dolní Podluží,Děčín,Ústecký kraj
Dolní Pohleď,Kutná Hora,Středočeský kraj
Dolní Poustevna,Děčín,Ústecký kraj
Dolní Pěna,Jindřichův Hradec,Jihočeský kraj
Dolní Přím,Hradec Králové,Královéhradecký kraj
Dolní Radechová,Náchod,Královéhradecký kraj
Dolní Roveň,Pardubice,Pardubický kraj
Dolní Rožínka,Žďár nad Sázavou,Kraj Vysočina
Dolní Rychnov,Sokolov,Karlovarský kraj
Dolní Slivno,Mladá Boleslav,Středočeský kraj
Dolní Sokolovec,Havlíčkův Brod,Kraj Vysočina
Dolní Stakory,Mladá Boleslav,Středočeský kraj
Dolní Studénky,Šumperk,Olomoucký kraj
Dolní Tošanovice,Frýdek-Místek,Moravskoslezský kraj
Dolní Těšice,Přerov,Olomoucký kraj
Dolní Třebonín,Český Krumlov,Jihočeský kraj
Dolní Vilémovice,Třebíč,Kraj Vysočina
Dolní Vilímeč,Jihlava,Kraj Vysočina
Dolní Věstonice,Břeclav,Jihomoravský kraj
Dolní Zimoř,Mělník,Středočeský kraj
Dolní Zálezly,Ústí nad Labem,Ústecký kraj
Dolní Žandov,Cheb,Karlovarský kraj
Dolní Životice,Opava,Moravskoslezský kraj
Dolní Žďár,Jindřichův Hradec,Jihočeský kraj
Dolní Čermná,Ústí nad Orlicí,Pardubický kraj
Dolní Řasnice,Liberec,Liberecký kraj
Dolní Ředice,Pardubice,Pardubický kraj
Dolní Újezd,Svitavy,Pardubický kraj
Dolní Újezd,Přerov,Olomoucký kraj
Doloplazy,Prostějov,Olomoucký kraj
Doloplazy,Olomouc,Olomoucký kraj
Dolánky nad Ohří,Litoměřice,Ústecký kraj
Domamil,Třebíč,Kraj Vysočina
Domanín,Hodonín,Jihomoravský kraj
Domanín,Jindřichův Hradec,Jihočeský kraj
Domašov,Brno-venkov,Jihomoravský kraj
Domašov nad Bystřicí,Olomouc,Olomoucký kraj
Domašov u Šternberka,Olomouc,Olomoucký kraj
Domašín,Chomutov,Ústecký kraj
Domaželice,Přerov,Olomoucký kraj
Domažlice,Domažlice,Plzeňský kraj
Domoraz,Klatovy,Plzeňský kraj
Domousnice,Mladá Boleslav,Středočeský kraj
Domoušice,Louny,Ústecký kraj
Dománovice,Kolín,Středočeský kraj
Doubek,Praha-východ,Středočeský kraj
Doubice,Děčín,Ústecký kraj
Doubrava,Karviná,Moravskoslezský kraj
Doubravice,České Budějovice,Jihočeský kraj
Doubravice,Strakonice,Jihočeský kraj
Doubravice,Trutnov,Královéhradecký kraj
Doubravice nad Svitavou,Blansko,Jihomoravský kraj
Doubravička,Mladá Boleslav,Středočeský kraj
Doubravník,Brno-venkov,Jihomoravský kraj
Doubravy,Zlín,Zlínský kraj
Doubravčice,Kolín,Středočeský kraj
Doudleby,České Budějovice,Jihočeský kraj
Doudleby nad Orlicí,Rychnov nad Kněžnou,Královéhradecký kraj
Doupovské Hradiště,Karlovy Vary,Karlovarský kraj
Doupě,Jihlava,Kraj Vysočina
Doňov,Jindřichův Hradec,Jihočeský kraj
Drachkov,Strakonice,Jihočeský kraj
Drahanovice,Olomouc,Olomoucký kraj
Drahany,Prostějov,Olomoucký kraj
Drahelčice,Praha-západ,Středočeský kraj
Drahenice,Příbram,Středočeský kraj
Drahkov,Plzeň-jih,Plzeňský kraj
Drahlín,Příbram,Středočeský kraj
Drahobudice,Kolín,Středočeský kraj
Drahobuz,Litoměřice,Ústecký kraj
Drahonice,Strakonice,Jihočeský kraj
Drahonín,Brno-venkov,Jihomoravský kraj
Drahotěšice,České Budějovice,Jihočeský kraj
Drahotín,Domažlice,Plzeňský kraj
Drahouš,Rakovník,Středočeský kraj
Drahov,Tábor,Jihočeský kraj
Drahoňův Újezd,Rokycany,Plzeňský kraj
Drahňovice,Benešov,Středočeský kraj
Draženov,Domažlice,Plzeňský kraj
Dražeň,Plzeň-sever,Plzeňský kraj
Dražice,Tábor,Jihočeský kraj
Dražičky,Tábor,Jihočeský kraj
Dražovice,Vyškov,Jihomoravský kraj
Dražovice,Klatovy,Plzeňský kraj
Dražíč,České Budějovice,Jihočeský kraj
Dražůvky,Hodonín,Jihomoravský kraj
Drevníky,Příbram,Středočeský kraj
Drhovice,Tábor,Jihočeský kraj
Drhovle,Písek,Jihočeský kraj
Drhovy,Příbram,Středočeský kraj
Drmoul,Cheb,Karlovarský kraj
