,Name,Year,Price,Mileage,Engine,Gearbox,Body,Location
5562,"Škoda Superb, 2.0 TDI 103kW NAVIGACE ZÁRUKA",2014,368 000 Kč,120 787 km,"Nafta, 103 kW",Manuální,kombi,Jihočeský
5563,"Volkswagen Tiguan, 2.0 TDI 103 KW TAŽNÉ NAVI. Z",2014,378 000 Kč,155 875 km,"Nafta, 103 kW",Manuální,SUV,Jihočeský
5564,"Volkswagen Tiguan, 2.0 TDI 103 KW 4x4 ZÁRUKA AŽ",2014,428 000 Kč,84 025 km,"Nafta, 103 kW",Manuální,SUV,Jihočeský
5565,"Volkswagen Tiguan, 2.0 TDI 103 KW Bi-Xen ZÁRUKA",2011,328 000 Kč,129 100 km,"Nafta, 103 kW",Manuální,SUV,Jihočeský
5566,"Volkswagen Touran, 2.0 TDI 103 KW Comfortline ZÁ",2013,298 000 Kč,131 557 km,"Nafta, 103 kW",Manuální,MPV,Jihočeský
5567,"Renault Clio, 1.2i,ČR",2008,34 900 Kč,40 989 km,"Benzín, 43 kW",,hatchback,Praha
5568,"Škoda Octavia, 1.6TDi,ČR,DPH,Style",2016,259 900 Kč,197 000 km,"Nafta, 81 kW",Manuální,kombi,Praha
5569,"Mercedes-Benz Třída S, S 400d/L AMG  koup. v ČR",2018,1 999 000 Kč,78 000 km,"Nafta, 250 kW",Automatická,sedan,Středočeský
5570,"Mercedes-Benz Viano, 3.0CDi Automat",2008,349 900 Kč,143 000 km,"Nafta, 150 kW",Automatická,MPV,Jihomoravský
5571,"Volkswagen Polo, 1,6i  CROSS",2008,129 000 Kč,183 000 km,"Benzín, 77 kW",Manuální,hatchback,Středočeský
5572,"Volkswagen Polo, 1,2i  klima",2009,115 000 Kč,162 000 km,"Benzín, 51 kW",Manuální,hatchback,Středočeský
5573,"Peugeot 207, 1.6 16V 110k Sporty",2007,68 000 Kč,185 000 km,"Benzín, 80 kW",Manuální,hatchback,Středočeský
5574,"Chrysler Pacifica, 4 x 4 Touring-L 2021",2021,1 690 000 Kč,2 km,"Benzín, 216 kW",Automatická,MPV,Praha
5575,"Lincoln Aviator, Reserve, AKCE CENA",2020,2 199 000 Kč,2 km,"Benzín, 298 kW",Automatická,SUV,Praha
5576,"Chrysler Pacifica, 4 x 4 nový model",2021,1 749 000 Kč,2 km,"Benzín, 216 kW",Automatická,MPV,Praha
5577,"Alfa Romeo 159, SW 2.4jtd 147KW",2007,10 Kč,0 km,"Nafta, 147 kW",,,Pardubický
5578,"Alfa Romeo 159, SW 2.2 JTS",2006,10 Kč,0 km,"Benzín, 136 kW",,kombi,Pardubický
5579,"Alfa Romeo 159, 2.4 JTDm 147kW sedan",2000,10 Kč,0 km,"Nafta, 147 kW",,sedan,Pardubický
5580,"Alfa Romeo 159, SW-1.9 JTDm 110kW",,10 Kč,0 km,"Nafta, 110 kW",,kombi,Pardubický
5581,"Alfa Romeo 159, SW-2.4 JTDm 147kW Q-tronic",,10 Kč,0 km,"Nafta, 147 kW",,kombi,Pardubický
5582,"Alfa Romeo 159, SW-2.4 JTDm 147kW",,10 Kč,0 km,"Nafta, 147 kW",,kombi,Pardubický
5583,"Alfa Romeo Giulietta, 1.6 JTDm 77kW",,10 Kč,0 km,"Nafta, 77 kW",,hatchback,Pardubický
5584,"Alfa Romeo MiTo, 1.4 TB 114kW",2009,10 Kč,0 km,"Benzín, 114 kW",,kupé,Pardubický
5585,"Alfa Romeo Giulietta, QV-1750 TBi 173kW",,10 Kč,0 km,"Benzín, 173 kW",,hatchback,Pardubický
5586,"Škoda Ostatní, pneu  245/50 R18 100Y",2000,5 000 Kč,0 km,"Benzín, 0 kW",,disky a pneu,Ústecký
5587,"Dodge RAM, 1500 CrewCab TRX",2021,3 847 800 Kč,180 km,"Benzín, 524 kW",Automatická,pick up,Moravskoslezský
5588,"Hyundai Ostatní, 2.0 TGDI 206 kW, N PERFORMANCE",2020,949 990 Kč,5 km,"Benzín, 206 kW",Automatická,SUV,Moravskoslezský
5589,"Opel Antara, 3.2I 4X4",2008,149 000 Kč,119 000 km,"Benzín, 167 kW",Automatická,SUV,
5590,"Peugeot 2008, ALLURE 1.6 BlueHDI 120 k S&amp",2016,269 000 Kč,73 692 km,"Nafta, 88 kW",Manuální,hatchback,
5591,"Subaru XV, 2,0i-S AWD SWISSE ONE",2013,289 000 Kč,159 320 km,"Benzín, 110 kW",Manuální,kombi,Moravskoslezský
5592,"Škoda Fabia, 1.0 TSI 81kW Ambition",2018,229 000 Kč,67 709 km,"Benzín, 81 kW",Manuální,hatchback,Moravskoslezský
5593,"Škoda Octavia, 1,9TDI 4x4 ELEGANCE",2007,99 900 Kč,277 839 km,"Nafta, 77 kW",Manuální,kombi,Vysočina
5594,"Ford Focus, 1.6 Duratorq TDCI ESP",2005,29 900 Kč,325 340 km,"Nafta, 80 kW",Manuální,kombi,Vysočina
